,time_start,time_end,model,launch_place,target,launched,destroyed,source,missed,year,month,attack_duration
161,2025-03-04 19:30:00,2025-03-05 09:30:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo",Ukraine,181.0,115.0,kpszsu/posts/pfbid07ZMePgeNzgraWhW2a8HZFpSyW6GhwEzvHsaVSYrbZm834r3AeH52xuzQqUB2bTXal,66.0,2025,3,0 days 14:00:00
162,2025-03-04 19:30:00,2025-03-05 09:30:00,Iskander-M/KN-23,Voronezh oblast,Ukraine,3.0,0.0,kpszsu/posts/pfbid07ZMePgeNzgraWhW2a8HZFpSyW6GhwEzvHsaVSYrbZm834r3AeH52xuzQqUB2bTXal,3.0,2025,3,0 days 14:00:00
163,2025-03-04 19:30:00,2025-03-05 09:30:00,C-300,Kursk oblast,Ukraine,1.0,0.0,kpszsu/posts/pfbid07ZMePgeNzgraWhW2a8HZFpSyW6GhwEzvHsaVSYrbZm834r3AeH52xuzQqUB2bTXal,1.0,2025,3,0 days 14:00:00
164,2025-03-05 00:00:00,2025-03-05 00:00:00,Молнія,,south,2.0,2.0,PvKPivden/posts/pfbid02FCK3aUx72ekP5URerRtRGsPo3BkvZME75mT9YDnL5MeTq6EqNKUmYU6A1RA3xpeAl,0.0,2025,3,0 days 00:00:00
165,2025-03-05 00:00:00,2025-03-05 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid02FCK3aUx72ekP5URerRtRGsPo3BkvZME75mT9YDnL5MeTq6EqNKUmYU6A1RA3xpeAl,0.0,2025,3,0 days 00:00:00
166,2025-03-03 19:00:00,2025-03-04 09:00:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Ukraine,99.0,65.0,kpszsu/posts/pfbid02tc6ZQ9TzWz9HP1xgCUx9xjzyZZD95tmXnsDaRi6r6sqCNGWMCZgSmAFPXCiEhh9Ll,34.0,2025,3,0 days 14:00:00
167,2025-03-02 19:00:00,2025-03-03 08:30:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo,Ukraine,83.0,46.0,kpszsu/posts/pfbid0vKUgMKts5xDg4S7uhf72j3w7izY22Sm1XrGZTr7Ubq37uKfmj7petYCRAuJ3TUbCl,37.0,2025,3,0 days 13:30:00
168,2025-03-01 19:00:00,2025-03-02 08:30:00,Shahed-136/131,Primorsko-Akhtarsk and Bryansk oblast and Oryol oblast and Millerovo,Ukraine,79.0,63.0,kpszsu/posts/pfbid02FNgcu6AzM5Ct6sARenT5q99wKXhQ3exnsZXgxu56zJj8S1QpC3xkMXjF5d6aFREDl,16.0,2025,3,0 days 13:30:00
169,2025-02-28 19:30:00,2025-03-01 08:30:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Ukraine,154.0,103.0,kpszsu/posts/pfbid035aa6eMW7hQ2kfCxpD87s8RAZc9J4FHxZuV4qdiyFpXJieWSCbt4XnxcZAsnHHLKWl,51.0,2025,2,0 days 13:00:00
170,2025-03-01 00:00:00,2025-03-01 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid028TfVEtnZNam6xtsBsrn4u74u6EdoCFhC1Y3CSRwxbGNp6qFkSKYcXmosdTYCosj1l,0.0,2025,3,0 days 00:00:00
171,2025-03-01 00:00:00,2025-03-01 00:00:00,Supercam,,south,2.0,2.0,PvKPivden/posts/pfbid028TfVEtnZNam6xtsBsrn4u74u6EdoCFhC1Y3CSRwxbGNp6qFkSKYcXmosdTYCosj1l,0.0,2025,3,0 days 00:00:00
172,2025-03-01 00:00:00,2025-03-01 00:00:00,Iskander-M,,Odesa,1.0,0.0,PvKPivden/posts/pfbid028TfVEtnZNam6xtsBsrn4u74u6EdoCFhC1Y3CSRwxbGNp6qFkSKYcXmosdTYCosj1l,1.0,2025,3,0 days 00:00:00
173,2025-02-27 19:00:00,2025-02-28 09:00:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,208.0,107.0,kpszsu/posts/pfbid026nMercQ4gGvr6crpiTGpTjuYZaiDtXrD2DoRuEGaNnuPxu1yYVU5i5MCGKxM3W1Al,101.0,2025,2,0 days 14:00:00
174,2025-02-28 00:00:00,2025-02-28 00:00:00,ZALA,,south,2.0,2.0,PvKPivden/posts/pfbid01EjaqSt9jyChXxeditht1NctxjuFp3tMPr2qAEsnevfJKY456bs8itcpcwM6yFotl,0.0,2025,2,0 days 00:00:00
175,2025-02-28 00:00:00,2025-02-28 00:00:00,Supercam,,south,1.0,1.0,PvKPivden/posts/pfbid01EjaqSt9jyChXxeditht1NctxjuFp3tMPr2qAEsnevfJKY456bs8itcpcwM6yFotl,0.0,2025,2,0 days 00:00:00
176,2025-02-28 00:00:00,2025-02-28 00:00:00,Orlan-10,,south,3.0,3.0,PvKPivden/posts/pfbid01EjaqSt9jyChXxeditht1NctxjuFp3tMPr2qAEsnevfJKY456bs8itcpcwM6yFotl,0.0,2025,2,0 days 00:00:00
177,2025-02-28 00:00:00,2025-02-28 00:00:00,Iskander-M,,Odesa oblast,1.0,0.0,PvKPivden/posts/pfbid01EjaqSt9jyChXxeditht1NctxjuFp3tMPr2qAEsnevfJKY456bs8itcpcwM6yFotl,1.0,2025,2,0 days 00:00:00
